Bird.ID,Deploy.Date,Data.End.Date,Age,Sex,Wing,Mass,H.B,TAG.type,X.ray.result,Tag.code,Ringing.location,S.N,Tag.Extant,Redeployed,UHF.Code,Current.Winter.site,Accelerometer.,2012.Gos,2013.Gos,2014.Gos,2015.Gos,2016.Gos,2017.Gos,2018.Gos,2019.Gos,2020.Gos,Notes
WHIT10,14/02/2017,01/05/2020,A,F,425,2575,104.2,Ecotone GSM,1,10,ISLA,NA,N,N,WHI10,NA,Y,Na,Na,Na,Na,0,Na,0,2,,Acc 2017 + 2018 BS
WHIT11,16/11/2017,19/04/2018,A,F,424,2425,105,Ecotone GSM,NA,11,ISLA,NA,N,N,WHI11,NA,Y,Na,Na,Na,Na,Na,3,Na,Na,Na,NA
WHIT12,11/03/2017,27/01/2022,A,F,415,2550,108.3,Ecotone GSM,0,12,KINT,NA,Y,N,WHI12,Leorin,Y,Na,Na,Na,Na,Na,4,0,0,0,Acc 2017 + 2018 BS
WHIT13,16/11/2017,07/05/2018,A,F,406,2300,110.2,Ecotone GSM,NA,13,ISLA,NA,N,N,WHI13,NA,Y,Na,Na,Na,Na,Na,0,Na,Na,Na,NA
WHIT14,25/02/2017,03/05/2017,A,F,428,2375,103.5,Ecotone GSM,0,14,ISLA,NA,N,N,WHI14,NA,Y,Na,Na,Na,Na,0,Na,Na,Na,Na,NA
WHIT15,25/02/2017,02/05/2018,A,F,426,2475,108.3,Ecotone GSM,0,15,ISLA,NA,N,N,WHI15,NA,Y,Na,Na,Na,Na,4,0,Na,Na,Na,Acc 2017 BS
WHIT16,25/02/2018,06/10/2020,A,F,416,2125,104.4,Ecotone GSM,NA,16,ISLA,NA,Y,N,WHI16,Ballinaby,Y,Na,Na,Na,Na,Na,2,0,0,,Acc 2018 + 2019 BS
WHIT17,25/02/2018,03/10/2022,A,F,418,2400,106.8,Ecotone GSM,NA,17,ISLA,NA,Y,N,WHI17,Cornabus,Y,Na,Na,Na,Na,Na,0,0,0,,Acc 2018 + 2019 BS
WHIT18,28/02/2018,24/12/2018,A,F,414,2350,112,Ecotone GSM,NA,18,ISLA,NA,N,N,WHI18,NA,Y,Na,Na,Na,Na,Na,0,0,Na,Na,Acc 2018 BS
WHIT19,28/02/2018,15/04/2020,A,F,415,2375,109.2,Ecotone GSM,NA,19,ISLA,NA,N,N,WHI19,NA,Y,Na,Na,Na,Na,Na,0,0,0,Na,Acc 2018 + 2019 BS
WHIT20,28/02/2018,06/10/2018,A,F,412,2100,105,Ecotone GSM,NA,20,ISLA,NA,N,N,WHI20,NA,Y,Na,Na,Na,Na,Na,0,Na,0,Na,Acc 2018 BS
WHIT21,28/02/2018,01/05/2021,A,F,420,2250,105.6,Ecotone GSM,NA,21,ISLA,NA,Y,N,WHI21,Cornabus,Y,Na,Na,Na,Na,Na,0,0,0,,Acc 2018 + 2019 BS
WHIT22,28/02/2018,05/05/2021,A,F,421,2425,106.3,Ecotone GSM,NA,22,ISLA,NA,Y,N,WHI22,Cornabus,Y,Na,Na,Na,Na,Na,0,0,2,0,Acc 2018 + 2019 BS
WHIT23,28/02/2018,07/05/2018,A,F,407,2100,104.4,Ecotone GSM,NA,23,ISLA,NA,N,N,WHI23,NA,Y,Na,Na,Na,Na,Na,0,Na,Na,Na,NA
WHIT24,28/02/2018,10/10/2018,A,F,420,2350,110.5,Ecotone GSM,NA,24,ISLA,NA,N,N,WHI24,NA,Y,Na,Na,Na,Na,Na,0,Na,Na,Na,Acc 2018 BS
