tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep_aut,Ice_arrive_aut
17783_2021,2021-04-10,2021-04-11,2021,17783,2021-04-30,2021-05-03,NA,NA
17786_2019,2019-04-07,2019-04-09,2019,17786,2019-05-05,2019-05-06,2019-09-07,2019-09-09
17786_2020,2020-04-04,2020-04-06,2020,17786,2020-05-02,2020-05-05,2020-09-03,2020-09-04
17786_2021,2021-04-11,2021-04-12,2021,17786,2021-05-01,2021-05-02,2021-09-06,2021-09-08
17790_2019,2019-04-07,2019-04-09,2019,17790,2019-05-05,2019-05-06,2019-09-07,2019-09-08
17790_2020,2020-04-04,2020-04-05,2020,17790,2020-05-02,2020-05-05,2020-09-01,2020-09-03
17790_2021,2021-04-01,2021-04-04,2021,17790,2021-05-02,2021-05-03,2021-09-06,2021-09-07
17791_2019,2019-03-29,2019-03-31,2019,17791,2019-05-03,2019-05-06,2019-09-03,2019-09-05
17791_2020,2020-04-07,2020-04-09,2020,17791,2020-04-30,2020-05-01,2020-08-20,2020-08-21
17792_2020,2020-04-10,2020-04-12,2020,17792,NA,NA,NA,NA
17795_2019,2019-03-27,2019-03-30,2019,17795,2019-05-03,2019-05-04,2019-09-08,2019-09-11
17795_2020,2020-04-07,2020-04-09,2020,17795,2020-05-03,2020-05-05,2020-09-01,2020-09-03
17795_2021,2021-04-11,2021-04-12,2021,17795,2021-05-03,2021-05-05,2021-09-06,2021-09-07
17796_2019,2019-04-07,2019-04-09,2019,17796,2019-05-07,2019-05-10,2019-09-07,2019-09-09
17799_2020,2020-04-27,2020-04-28,2020,17799,2020-05-07,2020-05-09,2020-09-08,2020-09-09
17799_2021,2021-03-31,2021-04-02,2021,17799,2021-05-06,2021-05-09,2021-09-13,2021-09-17
17800_2020,2020-04-13,2020-04-14,2020,17800,NA,NA,NA,NA
17801_2020,2020-04-04,2020-04-06,2020,17801,2020-04-29,2020-04-30,2020-09-02,2020-09-04
17801_2021,2021-04-10,2021-04-11,2021,17801,2021-05-02,2021-05-03,2021-09-06,2021-09-08
17804_2019,2019-03-31,2019-04-01,2019,17804,2019-05-05,2019-05-09,2019-09-18,2019-09-21
17805_2019,2019-03-31,2019-04-01,2019,17805,2019-05-05,2019-05-06,2019-10-07,2019-10-08
17805_2020,2020-03-30,2020-04-02,2020,17805,NA,NA,NA,NA
17806_2019,2019-04-07,2019-04-09,2019,17806,2019-05-05,2019-05-06,2019-09-07,2019-09-08
17807_2021,2021-04-11,2021-04-11,2021,17807,2021-04-30,2021-05-02,2021-09-06,2021-09-08
17809.1_2019,2019-03-31,2019-04-01,2019,17809.1,2019-05-05,2019-05-06,2019-09-06,2019-09-09
17809.1_2020,2020-03-20,2020-03-21,2020,17809.1,2020-05-02,2020-05-05,2020-09-02,2020-09-04
17809.2_2021,2021-03-31,2021-04-02,2021,17809.2,2021-05-01,2021-05-02,2021-09-01,2021-09-05
17810_2019,2019-04-07,2019-04-08,2019,17810,2019-05-06,2019-05-09,NA,NA
17812_2018,2018-04-08,2018-04-10,2018,17812,2018-05-07,2018-05-10,2018-09-17,2018-09-20
17812_2019,2019-03-25,2019-03-29,2019,17812,2019-05-05,2019-05-07,2019-09-09,2019-09-12
17813_2018,2018-03-29,2018-03-30,2018,17813,2018-05-07,2018-05-10,2018-09-12,2018-09-13
17813_2019,2019-04-09,2019-04-09,2019,17813,2019-05-05,2019-05-07,2019-09-09,2019-09-13
17813_2020,2020-03-25,2020-03-27,2020,17813,2020-05-07,2020-05-09,2020-09-10,2020-09-13
17813_2021,2021-04-03,2021-04-04,2021,17813,2021-05-05,2021-05-06,2021-09-09,2021-09-11
17814_2018,2018-04-08,2018-04-09,2018,17814,2018-05-09,2018-05-11,2018-09-12,2018-09-13
17824_2019,2019-04-07,2019-04-08,2019,17824,2019-05-05,2019-05-07,2019-09-12,2019-09-15
17824_2020,2020-04-04,2020-04-06,2020,17824,2020-05-06,2020-05-07,2020-09-07,2020-09-09
190291_2020,2020-04-09,2020-04-11,2020,190291,2020-05-02,2020-05-05,2020-09-02,2020-09-04
190292_2020,2020-04-04,2020-04-06,2020,190292,2020-04-29,2020-04-30,2020-09-02,2020-09-03
190292_2021,2021-04-10,2021-04-11,2021,190292,2021-04-30,2021-05-01,2021-09-06,2021-09-08
190293_2020,2020-04-05,2020-04-07,2020,190293,NA,NA,NA,NA
190294_2020,2020-04-13,2020-04-14,2020,190294,2020-05-08,2020-05-09,2020-09-09,2020-09-11
190294_2021,2021-04-02,2021-04-04,2021,190294,NA,NA,NA,NA
190295.1_2019,2019-04-07,2019-04-08,2019,190295.1,NA,NA,NA,NA
190295.2_2020,2020-04-04,2020-04-06,2020,190295.2,2020-05-02,2020-05-06,2020-09-02,2020-09-04
190295.2_2021,2021-04-10,2021-04-11,2021,190295.2,2021-04-30,2021-05-02,NA,NA
190839_2020,2020-04-09,2020-04-11,2020,190839,2020-05-08,2020-05-09,2020-08-31,2020-09-04
190839_2021,2021-03-30,2021-04-02,2021,190839,2021-05-05,2021-05-07,2021-09-06,2021-09-08
190842_2020,2020-03-29,2020-03-30,2020,190842,2020-05-02,2020-05-05,2020-09-07,2020-09-09
190842_2021,2021-04-01,2021-04-02,2021,190842,2021-04-30,2021-05-02,2021-09-03,2021-09-04
190845_2020,2020-03-31,2020-04-03,2020,190845,2020-05-07,2020-05-09,NA,NA
