tag_year,mig_start,mig_end,duration,total_ODBA
17810_2019,2019-05-06T03:17:34Z,2019-05-09T19:24:49Z,88.1208333333333,2841.1180863516674
17812_2018,2018-05-07T06:30:41Z,2018-05-09T17:21:10Z,58.8413888888889,1856.9523400075295
17812_2019,2019-05-05T04:50:21Z,2019-05-06T20:19:05Z,39.4788888888889,1482.673228881642
17813_2018,2018-05-07T03:45:46Z,2018-05-09T21:45:51Z,66.0013888888889,2058.616320230592
17813_2019,2019-05-05T03:12:01Z,2019-05-07T02:27:11Z,47.2527777777778,1684.5694434770253
17813_2020,2020-05-07T20:12:37Z,2020-05-09T02:17:46Z,30.0858333333333,1393.6579112510458
17814_2018,2018-05-09T03:25:52Z,2018-05-11T15:45:19Z,60.3241666666667,1623.8450314891866
17824_2019,2019-05-05T03:15:58Z,2019-05-06T21:13:11Z,41.9536111111111,1271.8112845549842
17824_2020,2020-05-06T03:14:49Z,2020-05-07T16:51:59Z,37.6194444444444,1524.2733289287125
190291_2020,2020-05-02T02:26:55Z,2020-05-05T13:03:17Z,82.6061111111111,1996.8687658145452
190292_2020,2020-04-29T20:16:14Z,2020-05-01T01:10:33Z,28.9052777777778,1451.2198912165366
190294_2020,2020-05-07T23:42:23Z,2020-05-08T23:53:09Z,24.1794444444444,1041.275902740758
190295.2_2020,2020-05-02T05:12:32Z,2020-05-06T02:33:56Z,93.3566666666667,2872.2539591291747
190839_2020,2020-05-08T04:02:34Z,2020-05-09T17:56:41Z,37.9019444444444,1029.0038475742174
190842_2020,2020-05-02T03:14:13Z,2020-05-05T17:54:11Z,86.6661111111111,2445.3369112623814
190845_2020,2020-05-07T20:46:18Z,2020-05-09T00:15:34Z,27.4877777777778,1085.3446238143893
190850_2020,2020-05-06T06:23:40Z,2020-05-08T21:18:41Z,62.9169444444444,2345.4674118397043
BLO09_2015,2015-05-06T21:28:00Z,2015-05-08T22:43:00Z,49.25,NA
BLO19_2014,2014-05-04T21:11:00Z,2014-05-06T19:11:00Z,46,NA
BLO19_2015,2015-05-10T17:46:00Z,2015-05-12T10:38:00Z,40.8666666666667,NA
BLO19_2016,2016-05-03T18:59:00Z,2016-05-07T13:58:00Z,90.9833333333333,NA
BLO19_2017,2017-05-05T15:42:00Z,2017-05-07T13:47:00Z,46.0833333333333,NA
BLO21_2014,2014-05-04T20:18:00Z,2014-05-07T15:49:00Z,67.5166666666667,NA
BLO21_2015,2015-05-09T21:24:00Z,2015-05-12T12:47:00Z,63.3833333333333,NA
BLO22_2014,2014-05-10T05:49:00Z,2014-05-13T07:18:00Z,73.4833333333333,NA
BLO22_2015,2015-05-10T06:23:00Z,2015-05-12T08:03:00Z,49.6666666666667,NA
BLO27_2014,2014-05-02T22:15:00Z,2014-05-05T08:04:00Z,57.8166666666667,NA
BLO28_2015,2015-05-09T06:05:00Z,2015-05-12T06:06:00Z,72.0166666666667,NA
BLO29_2015,2015-05-06T16:10:00Z,2015-05-08T20:20:00Z,52.1666666666667,NA
BLO29_2016,2016-05-07T12:10:00Z,2016-05-09T16:12:00Z,52.0333333333333,NA
BLO29_2017,2017-05-03T20:15:00Z,2017-05-06T04:04:00Z,55.8166666666667,NA
CLEG04_2018,2018-05-08T09:00:34Z,2018-05-10T00:01:03Z,39.0080555555556,NA
CLEG05_2018,2018-05-08T12:00:23Z,2018-05-10T00:00:59Z,36.01,NA
DATI04_2019,2019-05-03T00:00:40Z,2019-05-04T18:00:29Z,41.9969444444444,NA
ETA12_2013,2013-05-05T06:25:00Z,2013-05-07T07:25:00Z,49,NA
ETA12_2014,2014-05-01T06:24:00Z,2014-05-03T05:55:00Z,47.5166666666667,NA
ETA12_2016,2016-05-03T07:20:00Z,2016-05-04T07:53:00Z,24.55,NA
ETA12_2017,2017-05-03T12:30:00Z,2017-05-07T10:16:00Z,93.7666666666667,NA
FAB03_2013,2013-05-06T09:06:00Z,2013-05-14T07:06:00Z,190,NA
FAB06_2013,2013-05-05T06:05:00Z,2013-05-07T07:05:00Z,49,NA
FAB22_2013,2013-05-07T07:10:00Z,2013-05-09T07:17:00Z,48.1166666666667,NA
HAR02_2016,2016-05-03T12:26:00Z,2016-05-06T08:47:00Z,68.35,NA
HAR02_2017,2017-05-04T11:11:00Z,2017-05-06T10:09:00Z,46.9666666666667,NA
HAR03_2015,2015-05-10T13:18:00Z,2015-05-12T06:19:00Z,41.0166666666667,NA
HAR04_2015,2015-05-06T20:22:00Z,2015-05-08T19:45:00Z,47.3833333333333,NA
HAR25_2017,2017-05-04T12:24:00Z,2017-05-07T07:25:00Z,67.0166666666667,NA
HAR26_2017,2017-05-04T14:28:00Z,2017-05-10T12:04:00Z,141.6,NA
HAR27_2015,2015-05-10T15:41:00Z,2015-05-12T06:31:00Z,38.8333333333333,NA
