Tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length
PIFO50_2020,2020-04-05,2020-04-07,2020,PIFO50,2020-04-30,2020-05-01,2020-08-28,NA,NA,0,NA
PIFO53_2020,2020-04-05,2020-04-07,2020,PIFO53,2020-04-30,2020-05-01,2020-08-28,NA,NA,0,NA
PIFO53_2021,2021-04-01,2021-04-03,2021,PIFO53,2021-05-01,2021-05-02,2021-09-02,2021-05-21,2021-06-16,27,19
UCOL31_2018,2018-04-11,2018-04-12,2018,UCOL31,2018-05-02,2018-05-04,2018-09-13,NA,NA,0,NA
UCOL31_2020,2020-04-04,2020-04-06,2020,UCOL31,2020-05-03,2020-05-07,2020-09-13,2020-05-31,2020-06-18,19,24
WHIT09_2017,2017-04-16,2017-04-16,2017,WHIT09,2017-05-06,2017-05-07,2017-09-11,NA,NA,0,NA
WHIT12_2018,2018-04-15,2018-04-15,2018,WHIT12,2018-05-02,2018-05-05,2018-09-11,NA,NA,0,NA
WHIT12_2019,2019-04-07,2019-04-08,2019,WHIT12,2019-05-03,2019-05-04,2019-09-05,2019-05-19,2019-06-01,14,15
WHIT12_2020,2020-04-07,2020-04-08,2020,WHIT12,2020-05-02,2020-05-05,2020-09-07,2020-05-20,2020-06-08,20,15
WHIT15_2017,2017-04-14,2017-04-15,2017,WHIT15,2017-05-04,2017-05-06,2017-09-03,2017-05-23,2017-05-31,9,17
WHIT16_2019,2019-03-31,2019-04-02,2019,WHIT16,2019-05-03,2019-05-04,2019-09-06,2019-05-18,2019-06-03,17,14
WHIT16_2020,2020-04-13,2020-04-14,2020,WHIT16,2020-05-07,2020-05-08,2020-09-07,2020-05-21,2020-06-19,30,13
WHIT17_2018,2018-04-15,2018-04-15,2018,WHIT17,2018-05-09,2018-05-10,2018-09-14,2018-06-07,2018-06-17,11,28
WHIT17_2020,2020-04-10,2020-04-12,2020,WHIT17,2020-05-06,2020-05-08,2020-09-07,2020-05-24,2020-06-06,14,16
